ID,"Ticket ID",Description,Company,Property,"Opportunity Manager",State,"Created Date",Type,Invoice,Stage,"Sale Price","Service Type - Hustad"
1357785,1324056,"All Repairs from Inspection Mar 25","Campus Life and  Style","220 S 10th St","Ashley Walter",MO,"07/21/2025 09:31:52 PM",Scope,,"New Service",1600.00,"SCOPE PENDING"
1357791,1324058,"All Repairs from Inspection Mar 25","Campus Life and  Style","1118 E Locust St","Ashley Walter",MO,"07/21/2025 08:03:57 PM",Scope,,"New Service",4300.00,"SCOPE PENDING"
1357794,1324059,"All Repairs from Inspection Mar 25","Campus Life and  Style","120 S 10th St","Ashley Walter",MO,"07/21/2025 08:05:47 PM",Scope,,"New Service",610.00,"SCOPE PENDING"
1357803,1324061,"All Repairs from Inspection Mar 25","Campus Life and  Style","225 S 9th St/825 Elm St","Ashley Walter",MO,"07/21/2025 08:01:50 PM",Scope,,"New Service",3550.00,"SCOPE PENDING"
1404319,1324871,"Tree overhanging site bid","Asset Living","Windsor Hall","Nicholas Del Villar",FL,"07/21/2025 06:41:27 PM",Scope,,"New Service",2500.00,"SCOPE APPROVED"
1499057,1325149,"Bed Bath And Beyond Repair Bid","DP Management","Village Center Mall","Chad Eckols",NE,"07/21/2025 11:17:38 AM",Scope,,"New Service",6250.00,"SCOPE APPROVED"
1505340,1325316,"All Repairs from Inspection May  25","Asset Living","Water's Edge","Nicholas Del Villar",FL,"07/21/2025 02:52:11 PM",Scope,,"New Service",10075.00,"SCOPE APPROVED"
1506919,1325347,"Fascia Repair - House 703","Asset Living","Windsor Hall","Nicholas Del Villar",FL,"07/21/2025 06:41:12 PM",Scope,,"New Service",1400.00,"SCOPE APPROVED"
1541408,1325852,"Leak Repairs Units 1 & 6","Asset Living","The Autry","Nicholas Del Villar",OK,"07/19/2025 01:16:16 AM",Scope,,"New Service",2760.00,"SCOPE PENDING"
1541758,1325857,"Leak/Gutter Bid Needed/MSA Inspection","Solidago Residential Services","Melbourne Senior",,TX,"06/23/2025 05:10:48 PM",Inspection,,"New Service",0.00,"MSA INSPECTION"
1541765,1325858,"MSA Inspection","Solidago Residential Services","The Hollows",,TX,"06/23/2025 05:17:40 PM",Inspection,,"New Service",,"MSA INSPECTION"
1541768,1325859,"MSA Inspection","Cardinal Group Management",Twelve620,,TX,"06/23/2025 05:19:38 PM",Inspection,,"New Service",,"MSA INSPECTION"
1542545,1325877,"Full Inspection - $500 NTE","Access Commercial","Sleep Number",,SD,"06/24/2025 04:36:52 PM",Inspection,,"New Service",0.00,"BI-ANNUAL INSPECTION"
1542548,1325878,"Full Inspection - $5,000 NTE","Access Commercial","Sortino Asset Management - Legacy Court",,IA,"06/24/2025 04:39:48 PM",Inspection,,"New Service",,"BI-ANNUAL INSPECTION"
1542551,1325879,"Full Inspection - $500 NTE","Access Commercial","CDM Holdings LLC - Dollar General",,IA,"06/24/2025 04:41:27 PM",Inspection,,"New Service",,"BI-ANNUAL INSPECTION"
1542552,1325880,"Full Inspection - $500 NTE","Access Commercial","Indian Creek",,NE,"06/24/2025 04:43:17 PM",Inspection,,"New Service",,"BI-ANNUAL INSPECTION"
1542555,1325881,"Full Inspection - $500 NTE","Access Commercial","Bella Squared, LLC - Amigos",,NE,"06/24/2025 04:44:28 PM",Inspection,,"New Service",,"BI-ANNUAL INSPECTION"
1542595,1325885,"Full Inspection - $1,500 NTE","Access Commercial","H&S -Office Max",,IA,"06/24/2025 05:07:30 PM",Inspection,,"New Service",,"BI-ANNUAL INSPECTION"
1542604,1325888,"Full Inspection - $500 NTE","Access Commercial","Home Team Cookout",,IA,"06/24/2025 05:10:39 PM",Inspection,,"New Service",,"BI-ANNUAL INSPECTION"
1542618,1325892,"Full Inspection - $5,000 NTE","Access Commercial","Westgate Commons",,ND,"06/24/2025 05:18:17 PM",Inspection,,"New Service",,"BI-ANNUAL INSPECTION"
